index,turn,player0,player0,player0,player0,player0,tal
,,mean,std,min,max,count,
0,0,51.71604938271605,11.836632299667457,22,72,81,52
1,1,47.32258064516129,12.500195662138669,22,68,62,45
2,2,41.96296296296296,11.932139827647298,15,63,54,40
3,3,37.97674418604651,11.837165788700924,8,59,43,36
4,4,32.666666666666664,11.812868392102015,7,58,39,32
5,5,30.433333333333334,10.186818167014472,6,52,30,30
6,6,21.63157894736842,10.45206266892271,4,40,19,28
7,7,18.333333333333332,11.994443157840497,7,35,6,26
8,8,22.0,4.242640687119285,19,25,2,26
