turn,player0
0,42
1,35
2,27
3,26
4,25
5,23
0,67
1,59
2,53
3,53
4,47
5,24
0,19
0,11
0,35
1,35
2,32
0,55
1,26
2,28
0,58
1,58
2,56
3,53
4,45
5,45
6,45
7,42
0,35
1,32
2,32
3,32
4,7
0,65
1,56
2,48
3,48
4,46
5,41
0,49
1,46
2,38
3,38
4,26
5,26
0,25
1,25
2,18
0,30
1,27
2,20
0,63
1,46
2,18
0,50
1,50
2,28
3,18
0,75
1,68
2,68
3,67
4,38
5,38
0,68
1,62
2,62
3,53
4,49
5,44
6,44
7,22
0,43
1,43
2,43
3,43
4,43
5,42
6,33
7,33
8,14
9,6
0,51
1,45
2,39
3,33
4,18
5,18
0,66
1,62
0,59
1,37
2,37
3,28
4,28
0,37
1,29
2,11
0,55
1,38
2,38
3,12
0,45
1,45
2,45
3,45
4,37
5,37
0,60
1,44
2,35
3,27
4,26
5,20
0,46
1,32
2,32
3,27
4,27
5,27
0,61
1,52
2,50
0,31
1,31
2,24
0,33
1,30
2,30
3,26
4,26
5,23
0,61
1,61
2,59
0,56
1,51
2,49
3,24
4,24
0,48
1,46
0,42
1,40
2,37
3,33
4,33
5,13
0,28
1,28
0,66
1,65
2,65
3,36
4,28
5,26
6,26
0,35
1,33
2,26
3,30
4,30
5,7
0,36
1,28
2,28
3,18
0,38
1,38
2,33
3,13
0,61
1,36
2,33
0,54
1,53
2,49
3,47
0,54
1,54
2,51
3,45
0,56
1,47
2,25
3,25
4,23
5,23
0,62
1,32
2,24
3,20
0,23
1,20
0,66
1,36
2,31
3,30
4,30
0,36
1,36
0,60
1,53
2,47
3,45
4,22
0,33
1,30
2,13
3,13
0,71
1,63
2,54
3,53
4,17
0,52
1,52
2,34
3,34
4,33
5,8
6,8
0,53
1,29
2,29
3,11
0,25
1,25
2,21
0,47
1,46
2,40
3,33
4,33
5,33
0,69
1,45
2,41
3,41
4,34
5,34
6,16
7,16
0,54
1,46
2,43
3,35
4,35
5,19
0,65
1,61
2,56
3,56
4,51
5,28
6,21
0,33
1,33
2,25
3,17
0,35
1,35
2,35
3,29
4,21
0,48
1,48
2,48
3,43
4,20
5,20
0,52
1,28
2,28
0,58
1,58
2,49
3,33
4,25
0,59
1,55
2,48
3,23
0,67
1,60
2,53
3,52
0,28
1,10
0,45
1,45
2,38
3,38
4,32
5,32
6,32
7,21
0,48
1,19
0,48
1,45
2,45
0,39
1,30
2,30
3,30
4,27
5,24
0,50
1,41
2,40
3,36
4,36
5,36
6,17
7,17
0,44
1,35
2,32
3,9
0,43
1,35
2,30
0,36
1,17
0,20
0,23
0,57
1,56
2,56
3,56
4,51
5,25
6,28
7,27
0,69
1,69
2,62
3,53
4,48
5,41
6,41
0,57
1,48
2,48
3,20
0,60
1,59
2,53
3,49
4,26
0,59
1,33
2,26
3,20
0,55
1,55
2,47
3,41
4,38
5,34
0,37
1,29
2,26
3,22
0,25
1,21
0,69
1,44
2,36
3,29
0,68
1,59
2,58
3,58
4,58
5,30
6,30
7,22
0,63
1,61
0,44
1,32
2,32
3,24
0,51
1,50
2,49
3,42
4,23
0,52
1,52
2,48
3,24
0,27
1,21
0,50
1,43
2,28
3,25
0,53
1,48
2,39
3,11
0,21
0,29
1,29
2,25
3,25
4,24
0,52
1,45
2,31
3,30
4,29
5,27
6,24
0,62
1,54
2,46
3,41
4,38
0,61
1,33
2,27
3,29
4,29
5,29
6,29
7,27
0,21
0,49
1,23
0,44
1,34
2,26
3,18
0,36
1,36
2,36
3,27
4,22
5,22
0,62
1,62
2,33
3,33
4,27
5,27
6,9
0,42
1,33
2,33
3,30
4,30
0,18
0,62
1,61
2,31
3,29
4,7
5,7
0,50
1,50
2,43
3,31
4,28
0,54
1,46
2,20
0,66
1,37
2,38
0,46
1,46
0,52
1,52
2,45
3,37
4,37
5,37
6,37
0,37
1,31
2,13
3,13
0,38
1,38
2,14
0,29
1,29
2,27
3,22
0,53
1,45
2,45
0,56
1,47
2,47
3,46
4,43
5,20
6,19
0,49
1,45
2,40
3,30
4,30
5,22
0,60
1,30
2,30
3,21
0,34
1,29
2,22
0,47
1,39
2,26
3,22
0,49
1,49
2,49
3,49
4,30
5,30
6,7
0,52
1,52
2,48
3,41
4,25
5,19
0,43
1,34
2,29
3,29
0,61
1,57
2,26
3,21
0,41
1,30
2,9
3,0
0,45
1,39
2,39
0,19
1,18
0,49
1,49
2,40
3,40
4,40
5,35
6,18
0,49
1,21
0,43
1,16
2,16
0,44
1,42
2,23
0,52
1,45
2,45
3,45
4,33
5,28
6,28
7,28
8,7
9,3
0,59
1,44
2,36
3,13
4,10
0,41
1,41
2,38
3,13
0,38
1,38
2,34
3,30
4,28
0,50
1,41
2,41
0,47
1,39
2,30
3,30
0,29
1,29
2,25
3,25
4,19
0,59
1,59
2,59
3,59
4,32
5,24
0,55
1,26
2,25
3,25
4,23
0,53
1,47
2,47
3,46
4,46
5,46
6,23
7,18
0,59
1,32
2,32
3,26
4,26
5,26
6,23
0,62
1,54
2,45
3,31
4,31
5,31
6,27
0,34
1,34
2,34
3,27
4,27
0,61
1,52
2,43
3,41
4,23
5,18
0,53
1,25
2,28
3,28
4,28
5,19
0,58
1,41
2,40
3,31
4,25
5,22
6,9
0,47
1,17
0,55
1,55
2,53
3,47
4,40
5,40
6,40
7,38
8,22
9,19
0,35
1,33
2,12
0,56
1,50
0,72
1,42
2,44
3,24
0,34
1,29
0,29
1,23
0,56
0,70
1,67
2,67
0,23
0,63
1,63
2,55
3,48
4,48
5,22
6,22
0,71
1,64
2,35
3,19
0,35
1,33
2,27
3,27
4,27
5,20
0,61
1,53
2,52
3,50
0,30
1,14
0,21
0,52
1,52
2,52
3,32
4,24
0,52
1,52
2,46
3,46
4,22
0,62
1,32
2,29
3,23
0,37
1,37
2,37
3,32
4,17
0,30
1,8
0,46
1,39
2,39
3,37
4,33
5,33
6,29
7,26
8,26
0,39
0,51
1,32
2,29
0,54
1,51
2,43
3,43
4,40
5,40
6,40
7,16
0,54
1,54
2,25
3,25
4,24
0,44
1,35
2,33
3,29
4,29
5,29
0,69
1,66
2,66
3,66
4,66
5,38
6,32
7,14
8,14
0,23
0,28
1,28
2,28
3,27
4,20
0,34
1,32
2,27
3,21
0,58
1,58
2,58
3,49
4,47
5,47
6,22
0,44
1,44
2,14
0,42
1,42
2,41
3,38
4,38
0,35
1,30
2,24
0,66
1,66
2,38
3,38
4,14
5,14
0,52
1,25
2,23
0,54
1,24
0,28
1,20
0,55
1,51
2,51
3,51
0,11
0,42
1,42
2,22
0,59
1,52
2,45
3,43
0,23
0,23
0,55
1,39
2,37
0,42
1,42
2,24
0,60
1,59
2,57
3,31
4,31
5,10
6,9
0,49
1,49
2,40
3,34
4,33
5,16
6,16
0,37
1,37
2,13
0,53
1,50
2,46
3,46
4,46
0,39
1,39
2,32
3,6
0,40
1,34
2,26
3,26
0,37
1,36
2,34
3,26
4,26
5,26
6,22
0,52
1,52
2,43
0,55
1,54
2,37
3,37
4,16
5,16
0,53
1,23
0,26
1,26
2,26
3,26
4,20
0,54
1,54
2,54
3,26
4,26
0,40
1,35
2,26
3,26
4,13
0,24
0,51
1,51
2,43
3,39
4,36
0,22
0,48
1,40
2,40
3,22
0,49
1,49
2,49
0,58
1,58
0,36
1,33
2,29
0,8
0,26
1,26
2,24
0,57
1,49
2,40
3,39
4,35
0,73
1,69
2,69
3,41
4,41
0,47
1,47
2,45
3,38
4,29
5,29
6,26
7,6
0,22
0,31
1,31
2,33
3,33
4,30
0,44
1,16
0,38
1,14
0,56
1,47
2,47
3,40
4,40
5,40
0,38
1,31
2,28
3,28
4,8
5,8
0,48
1,27
2,27
3,12
0,37
1,35
2,35
3,33
4,12
0,42
1,19
0,44
1,17
0,36
1,29
2,29
3,29
4,29
5,28
6,27
7,27
8,22
0,43
1,40
2,36
3,32
4,32
5,32
0,40
1,31
2,31
3,31
4,31
5,31
6,24
0,57
1,57
2,57
3,55
0,47
1,47
2,46
3,45
4,45
5,20
0,50
1,20
0,80
1,50
2,22
0,64
1,38
2,38
3,34
0,64
1,64
2,64
3,62
4,56
5,48
6,39
7,34
0,52
1,48
2,48
0,61
1,56
0,46
1,42
2,31
3,31
4,31
5,31
6,27
7,23
8,23
0,43
1,43
2,43
0,51
1,49
0,35
1,34
2,12
3,7
0,31
1,25
2,25
3,25
4,24
0,39
1,34
2,21
0,40
1,35
2,33
3,33
4,33
5,14
0,33
1,28
2,26
3,22
0,46
1,46
2,39
3,39
4,39
5,39
6,19
0,75
1,68
2,41
3,35
4,31
5,30
6,30
7,26
8,26
9,3
0,64
1,64
2,35
3,33
4,33
0,62
1,62
2,62
0,56
1,56
2,38
3,34
4,10
0,49
1,48
2,43
3,43
4,43
0,58
1,53
2,44
3,44
4,43
5,21
6,6
0,39
1,34
2,34
3,33
4,18
5,18
0,31
1,28
2,28
3,23
0,60
1,60
2,58
3,29
4,29
0,71
1,68
2,63
3,63
4,63
5,35
6,15
0,51
1,45
2,41
3,41
4,36
5,19
6,9
0,48
1,48
2,43
3,40
4,39
5,16
0,35
1,35
0,39
1,34
2,29
3,29
0,51
1,47
2,47
3,47
4,47
0,43
1,27
2,24
0,31
1,12
2,11
0,59
1,30
2,30
3,17
4,12
0,52
1,44
2,44
3,37
0,52
1,52
2,45
3,20
0,49
1,44
2,44
3,43
0,35
1,26
2,25
3,25
4,18
0,9
0,46
1,46
2,46
3,38
4,36
5,26
6,9
7,9
0,57
1,52
2,22
0,46
1,46
2,44
3,14
0,42
1,33
2,33
3,27
4,27
5,27
6,13
0,36
1,36
2,32
3,31
4,31
5,31
0,48
1,41
2,39
3,39
0,27
1,27
2,27
3,19
0,31
1,26
2,26
3,23
0,64
1,35
2,26
3,10
0,52
1,43
2,34
3,23
0,32
1,29
2,29
3,6
0,38
1,30
2,25
3,20
0,34
1,34
2,26
3,26
4,8
0,46
1,18
0,57
1,50
2,46
3,45
4,24
0,60
1,57
2,57
3,50
4,50
5,41
0,53
1,46
2,43
3,32
4,32
5,30
0,41
1,42
2,42
3,42
0,55
1,53
2,50
3,42
4,30
5,30
6,30
7,30
8,14
9,11
0,43
1,37
2,36
0,9
0,52
1,49
2,49
3,48
0,60
1,55
2,55
3,52
4,43
5,43
6,40
7,21
0,33
1,33
2,33
3,33
4,33
0,52
1,52
2,47
3,44
4,44
5,44
6,44
7,40
8,20
9,20
0,54
1,48
2,48
3,44
4,44
5,22
6,22
0,62
1,60
2,30
3,24
0,66
1,36
2,32
3,29
4,29
5,29
0,26
1,26
2,26
3,26
4,26
0,58
1,36
2,35
3,35
4,27
5,19
6,17
0,28
1,26
2,20
0,52
1,45
2,23
0,24
0,67
1,59
2,56
3,31
4,28
5,24
0,58
1,58
2,58
0,61
1,56
2,53
3,50
4,46
5,46
6,23
0,29
1,21
0,21
0,26
1,24
0,44
1,44
2,44
3,35
4,34
0,47
1,38
2,27
3,15
0,33
1,32
2,30
3,28
4,28
0,27
1,25
2,25
3,23
0,33
1,31
2,31
3,31
4,25
5,25
6,24
0,61
1,61
2,34
3,24
4,19
0,61
1,52
2,22
0,53
1,53
2,44
3,44
4,42
5,39
6,35
7,35
8,35
9,34
10,17
0,38
1,32
2,32
3,22
0,56
1,55
2,54
3,54
4,54
5,50
6,46
7,41
8,24
9,8
0,46
1,42
2,42
3,42
4,19
0,37
1,29
2,22
0,31
1,27
2,28
3,28
4,28
5,28
6,27
7,27
8,27
0,43
1,29
2,29
3,29
4,29
5,22
0,20
0,44
1,44
2,44
3,17
4,0
0,50
1,38
2,28
3,4
0,29
1,29
2,29
3,21
0,67
1,67
2,62
3,53
0,30
1,30
2,22
0,67
1,66
2,38
3,38
4,28
0,68
1,68
2,59
3,30
4,27
0,41
1,37
2,37
3,37
4,37
5,37
6,34
7,29
8,29
9,29
10,29
0,56
1,26
2,15
0,37
1,29
2,19
0,45
1,43
2,43
3,21
0,51
1,45
2,41
3,22
0,49
1,23
0,54
1,36
2,27
3,25
4,20
0,55
1,55
2,29
3,20
0,35
1,28
0,53
1,46
2,46
3,45
0,35
1,35
2,35
3,35
4,33
5,27
6,24
0,58
1,28
2,31
3,27
4,27
5,4
0,44
1,42
2,20
0,37
1,37
2,37
0,53
1,46
2,41
3,41
4,41
5,32
6,26
7,26
8,26
9,26
10,26
11,17
0,60
1,52
2,43
3,37
4,15
0,49
1,48
2,48
3,48
0,59
1,50
2,50
0,33
1,31
2,31
3,24
0,34
1,33
2,32
3,32
4,27
5,21
0,58
1,51
2,50
3,25
4,25
5,10
0,52
1,52
2,52
3,52
4,52
5,24
0,48
1,45
0,45
1,45
2,45
3,36
4,32
5,32
6,25
0,68
1,38
2,35
3,16
4,0
0,67
1,67
2,67
3,59
4,51
5,38
6,37
7,35
8,27
0,30
1,10
0,25
1,22
0,61
1,52
2,43
3,40
4,40
5,34
6,34
0,34
1,28
2,27
3,25
4,25
0,29
1,19
0,39
1,36
2,36
3,18
0,51
1,51
2,43
3,40
4,40
5,40
0,65
1,59
2,56
3,48
0,44
1,44
2,28
3,26
4,24
0,47
1,41
2,41
3,35
4,17
5,8
0,50
1,41
2,41
3,18
4,18
0,59
1,51
2,27
3,27
4,13
0,39
1,31
2,8
0,36
1,36
2,32
3,25
4,23
0,33
1,32
2,32
0,46
1,46
2,20
0,30
1,27
2,27
3,26
4,26
5,26
6,26
7,26
8,22
0,58
1,58
2,30
3,25
0,61
1,59
0,47
1,47
2,39
3,39
4,39
5,37
6,34
0,63
1,61
2,55
0,54
1,54
2,54
3,54
4,46
5,42
6,40
7,37
8,37
0,55
1,55
2,55
3,31
0,44
1,15
0,31
1,26
2,12
0,42
1,40
2,32
3,26
4,12
5,12
0,32
1,22
0,31
1,31
2,24
3,17
0,56
1,37
2,37
3,30
0,45
1,44
2,44
3,38
4,29
5,29
6,29
7,23
0,14
0,33
1,33
2,33
3,31
4,26
5,25
6,19
0,34
1,34
0,45
1,43
2,39
3,36
4,36
5,17
0,51
1,42
2,38
3,26
4,26
5,24
6,23
0,65
1,60
2,60
0,43
1,36
2,36
3,36
4,36
5,29
6,28
7,28
8,12
9,5
0,55
1,55
2,17
3,11
0,62
1,62
0,45
1,38
2,38
3,38
4,36
5,36
6,28
0,40
1,15
0,60
1,60
2,57
0,55
1,30
2,30
3,25
4,25
5,25
0,48
1,48
2,48
3,48
4,48
5,47
6,34
7,33
8,31
9,28
0,24
0,55
1,46
2,46
3,28
4,5
0,40
1,40
2,40
3,39
4,35
0,52
1,43
2,35
